Q2,target,collimator,run,SHMS_3of4_rate,current,currentCut,edtm_scaler,edtm_accepted,live_time
9.5,LH2,SC,2278,1.73,11.722,15.646,17345,17269,0.9942
9.5,LH2,SC,2279,3.44,20.134,27.92,23917,23717,0.9884
9.5,LH2,SC,2280,1.55,10.808,14.21,20835,20740,0.9940
9.5,LH2,SC,2281,1.59,11.413,14.545,20856,20753,0.9937
9.5,LH2,LC,3188,6.63,30.568,47.641,20902,20690,0.9842
11.5,LH2,LC,2452,6.37,23.532,30.464,21928,21654,0.9838
11.5,LH2,LC,2453,6.96,25.349,32.691,21736,21458,0.9835
11.5,LH2,LC,2464,4.58,17.891,23.582,5086,5038,0.9876
14.3,C12 6%,SC,2284,91.52,30.94,42.884,16042,15261,0.9325
14.3,C12 6%,SC,2285,94.28,20.029,43.715,22183,21388,0.9218
14.3,C12 6%,SC,2286,96.84,27.025,44.281,8501,8125,0.9275
14.3,C12 6%,SC,2290,88.79,35.276,41.733,20941,19726,0.9314
14.3,C12 6%,SC,2291,86.97,34.913,41.176,20326,19201,0.9347
14.3,C12 6%,SC,2292,88.22,36.439,41.584,14344,13523,0.9347
14.3,C12 6%,SC,2293,74.51,25.184,37.153,22063,21168,0.9402
14.3,C12 6%,SC,2294,70.74,26.745,36.579,22288,21286,0.9385
14.3,C12 6%,SC,2295,70.55,25.331,36.513,20863,20075,0.9456
14.3,C12 6%,SC,2296,77.23,32.687,39.163,22642,21436,0.9362
14.3,C12 6%,SC,2297,76.69,33.114,38.976,21499,20364,0.9379
14.3,C12 6%,SC,2298,75.21,26.004,38.303,21542,20618,0.9368
14.3,C12 6%,SC,2299,76.67,33.355,38.995,22078,20926,0.9390
14.3,C12 6%,SC,2300,66.29,21.113,35.297,21094,20338,0.9401
14.3,C12 6%,SC,2301,74.28,22.881,38.215,22318,21502,0.9389
14.3,C12 6%,SC,2303,76.57,33.596,39.036,14940,14120,0.9362
14.3,C12 6%,SC,2304,79.00,24.326,39.906,10327,9947,0.9396
14.3,C12 6%,SC,2305,72.64,31.71,37.429,22198,21034,0.9381
14.3,C12 6%,SC,2306,74.43,31.439,38.223,18061,17178,0.9406
14.3,C12 6%,SC,2308,76.17,34.917,38.937,13490,12741,0.9381
14.3,C12 6%,SC,2309,72.77,21.843,37.614,21384,20610,0.9377
14.3,C12 6%,SC,2310,59.92,20.113,32.443,13348,12888,0.9444
14.3,C12 6%,SC,2311,64.15,26.859,34.176,21130,20218,0.9451
14.3,C12 6%,SC,2312,72.14,29.153,37.369,21666,20676,0.9414
14.3,C12 6%,SC,2313,74.30,33.071,38.211,18094,17121,0.9379
14.3,C12 6%,SC,2314,75.68,36.415,38.711,21573,20300,0.9373
14.3,C12 6%,SC,2315,75.34,35.884,38.584,21952,20726,0.9400
14.3,C12 6%,SC,2316,75.65,30.617,38.697,20851,19781,0.9351
14.3,C12 6%,SC,2317,74.37,35.471,38.189,21517,20281,0.9382
14.3,C12 6%,SC,2318,73.74,33.04,37.961,21411,20306,0.9407
14.3,C12 6%,SC,2319,73.87,31.387,37.996,22159,21037,0.9387
14.3,C12 6%,SC,2320,71.70,17.129,37.14,6981,6797,0.9429
14.3,C12 6%,SC,2321,71.54,25.657,37.169,21916,21058,0.9433
14.3,C12 6%,SC,2322,71.59,22.501,37.228,19294,18609,0.9413
14.3,C12 6%,SC,2323,70.86,28.225,36.654,19480,18586,0.9404
14.3,C12 6%,SC,2324,68.55,24.124,35.784,20098,19322,0.9427
14.3,C12 6%,SC,2325,69.25,24.212,36.096,34686,33306,0.9407
14.3,C12 6%,SC,2343,85.30,30.887,40.84,21289,20243,0.9350
14.3,C12 6%,SC,2344,56.07,22.345,31.471,24741,23867,0.9502
